지점,지점명,일시,일 미세먼지 농도(㎍/㎥)
90,속초,2021-01-01,14
90,속초,2021-01-02,17
90,속초,2021-01-03,17
90,속초,2021-01-04,17
90,속초,2021-01-05,13
90,속초,2021-01-06,12
90,속초,2021-01-07,18
90,속초,2021-01-08,11
90,속초,2021-01-09,14
90,속초,2021-01-10,19
90,속초,2021-01-11,15
90,속초,2021-01-12,30
90,속초,2021-01-13,109
90,속초,2021-01-14,39
90,속초,2021-01-15,50
90,속초,2021-01-16,67
90,속초,2021-01-17,12
90,속초,2021-01-18,25
90,속초,2021-01-19,29
90,속초,2021-01-20,54
90,속초,2021-01-21,22
90,속초,2021-01-22,19
90,속초,2021-01-23,16
90,속초,2021-01-24,17
90,속초,2021-01-25,22
90,속초,2021-01-26,22
90,속초,2021-01-27,23
90,속초,2021-01-28,28
90,속초,2021-01-29,15
90,속초,2021-01-30,37
90,속초,2021-01-31,32
90,속초,2021-02-01,48
90,속초,2021-02-02,17
90,속초,2021-02-03,24
90,속초,2021-02-04,14
90,속초,2021-02-05,35
90,속초,2021-02-06,56
90,속초,2021-02-07,46
90,속초,2021-02-08,22
90,속초,2021-02-09,22
90,속초,2021-02-10,36
90,속초,2021-02-11,31
90,속초,2021-02-12,27
90,속초,2021-02-13,29
90,속초,2021-02-14,31
90,속초,2021-02-15,17
90,속초,2021-02-16,10
90,속초,2021-02-17,28
90,속초,2021-02-18,28
90,속초,2021-02-19,54
90,속초,2021-02-20,42
90,속초,2021-02-21,45
90,속초,2021-02-22,39
90,속초,2021-02-23,45
90,속초,2021-02-24,28
90,속초,2021-02-25,24
90,속초,2021-02-26,24
90,속초,2021-02-27,17
90,속초,2021-02-28,19
90,속초,2021-03-01,11
90,속초,2021-03-02,24
90,속초,2021-03-03,27
90,속초,2021-03-04,18
90,속초,2021-03-05,22
90,속초,2021-03-06,34
90,속초,2021-03-07,13
90,속초,2021-03-08,24
90,속초,2021-03-09,22
90,속초,2021-03-10,41
90,속초,2021-03-11,42
90,속초,2021-03-12,39
90,속초,2021-03-13,44
90,속초,2021-03-14,46
90,속초,2021-03-15,40
90,속초,2021-03-16,84
90,속초,2021-03-17,99
90,속초,2021-03-18,87
90,속초,2021-03-19,74
90,속초,2021-03-20,49
90,속초,2021-03-21,25
90,속초,2021-03-22,25
90,속초,2021-03-23,89
90,속초,2021-03-24,42
90,속초,2021-03-25,42
90,속초,2021-03-26,56
90,속초,2021-03-27,43
90,속초,2021-03-28,30
90,속초,2021-03-29,178
90,속초,2021-03-30,57
90,속초,2021-03-31,37
90,속초,2021-04-01,39
90,속초,2021-04-02,52
90,속초,2021-04-03,32
90,속초,2021-04-04,29
90,속초,2021-04-05,21
90,속초,2021-04-06,26
90,속초,2021-04-07,36
90,속초,2021-04-08,24
90,속초,2021-04-09,27
90,속초,2021-04-10,23
90,속초,2021-04-11,34
90,속초,2021-04-12,34
90,속초,2021-04-13,17
90,속초,2021-04-14,22
90,속초,2021-04-15,26
90,속초,2021-04-16,58
90,속초,2021-04-17,139
90,속초,2021-04-18,34
90,속초,2021-04-19,56
90,속초,2021-04-20,49
90,속초,2021-04-21,40
90,속초,2021-04-22,41
90,속초,2021-04-23,23
90,속초,2021-04-24,28
90,속초,2021-04-25,28
90,속초,2021-04-26,26
90,속초,2021-04-27,28
90,속초,2021-04-28,59
90,속초,2021-04-29,36
90,속초,2021-04-30,27
90,속초,2021-05-01,16
90,속초,2021-05-02,42
90,속초,2021-05-03,24
90,속초,2021-05-04,20
90,속초,2021-05-05,40
90,속초,2021-05-06,71
90,속초,2021-05-07,190
90,속초,2021-05-08,282
90,속초,2021-05-09,35
90,속초,2021-05-10,19
90,속초,2021-05-11,25
90,속초,2021-05-12,21
90,속초,2021-05-13,22
90,속초,2021-05-14,18
90,속초,2021-05-15,18
90,속초,2021-05-17,11
90,속초,2021-05-18,21
90,속초,2021-05-19,31
90,속초,2021-05-20,22
90,속초,2021-05-21,10
90,속초,2021-05-22,34
90,속초,2021-05-23,35
90,속초,2021-05-24,76
90,속초,2021-05-25,36
90,속초,2021-05-26,38
90,속초,2021-05-27,19
90,속초,2021-05-28,15
90,속초,2021-05-30,20
90,속초,2021-05-31,21
90,속초,2021-06-01,24
90,속초,2021-06-02,20
90,속초,2021-06-03,14
90,속초,2021-06-04,27
90,속초,2021-06-05,33
90,속초,2021-06-06,36
90,속초,2021-06-07,33
90,속초,2021-06-08,19
90,속초,2021-06-09,24
90,속초,2021-06-10,28
90,속초,2021-06-11,23
90,속초,2021-06-15,6
90,속초,2021-06-16,13
90,속초,2021-06-17,16
90,속초,2021-06-18,21
90,속초,2021-06-20,26
90,속초,2021-06-21,35
90,속초,2021-06-22,14
90,속초,2021-06-23,13
90,속초,2021-06-24,18
90,속초,2021-06-25,20
90,속초,2021-06-26,21
90,속초,2021-06-27,19
90,속초,2021-06-28,17
90,속초,2021-06-29,18
90,속초,2021-06-30,20
90,속초,2021-07-01,18
90,속초,2021-07-02,11
90,속초,2021-07-03,12
90,속초,2021-07-04,21
90,속초,2021-07-05,20
90,속초,2021-07-06,23
90,속초,2021-07-07,20
90,속초,2021-07-08,10
90,속초,2021-07-09,9
90,속초,2021-07-10,21
90,속초,2021-07-11,22
90,속초,2021-07-12,21
90,속초,2021-07-13,20
