단지번호,단지명,풍력기번호(임시),준공일,분류,주소,엑스좌표(GRS80_C_x),와이좌표(GRS80_C_y),위도(lat),경도(lon)
1,행원,1,2013-11-01,육상,제주특별자치도 제주시 구좌읍 해맞이해안로 712-3 (제주대 660),106838.4045,183229.7698,33.55517175,126.8194101
1,행원,2,2013-11-01,육상,제주특별자치도 제주시 구좌읍 해맞이해안로 712-3 (제주대 660),107052.4405,183350.5829,33.55710338,126.820707
1,행원,3,2013-11-01,육상,제주특별자치도 제주시 구좌읍 해맞이해안로 712-3 (제주대 660),107248.6057,183390.2459,33.5588726,126.8211305
1,행원,4,2013-11-01,육상,제주특별자치도 제주시 구좌읍 해맞이해안로 712-3 (제주대 660),107211.4283,183671.6151,33.55854175,126.8241612
1,행원,5,2013-11-01,육상,제주특별자치도 제주시 구좌읍 해맞이해안로 712-3 (제주대 660),106419.0255,183513.3681,33.55139508,126.8224717
1,행원,6,2013-11-01,육상,제주특별자치도 제주시 구좌읍 해맞이해안로 712-3 (제주대 660),106583.2261,183242.6679,33.55287129,126.8195537
1,행원,7,2013-11-01,육상,제주특별자치도 제주시 구좌읍 해맞이해안로 712-3 (제주대 660),106257.7949,183353.9069,33.54993896,126.8207576
1,행원,8,2013-11-01,육상,제주특별자치도 제주시 구좌읍 해맞이해안로 712-3 (제주대 660),106036.955,183298.9313,33.54794703,126.8201698
1,행원,9,2013-11-01,육상,제주특별자치도 제주시 구좌읍 해맞이해안로 712-3 (제주대 660),107107.5531,182646.4839,33.55758905,126.8131238
1,행원,10,2013-11-01,육상,제주특별자치도 제주시 구좌읍 해맞이해안로 712-3 (제주대 660),107222.0398,182139.5121,33.55861289,126.807662
1,행원,11,2013-11-01,육상,제주특별자치도 제주시 구좌읍 해맞이해안로 712-3 (제주대 660),107352.5857,183145.2856,33.55980624,126.8184906
2,전북,1,2007-11-01,육상,전라북도 부안군,374603.7664,156902.3384,35.96803829,126.5222009
2,전북,2,2007-11-01,육상,전라북도 부안군,374419.984,156913.1088,35.9663825,126.5223302
2,전북,3,2007-11-01,육상,전라북도 부안군,374236.2221,156924.8786,35.96472695,126.5224707
2,전북,4,2007-11-01,육상,전라북도 부안군,374052.4397,156935.6487,35.96307116,126.5226
2,전북,5,2007-11-01,육상,전라북도 부안군,373867.6577,156946.4391,35.96140636,126.5227297
2,전북,6,2007-11-01,육상,전라북도 부안군,373667.8817,156957.5369,35.95960646,126.5228635
2,전북,7,2007-11-01,육상,전라북도 부안군,373472.145,156970.5517,35.95784303,126.5230184
2,전북,8,2007-11-01,육상,전라북도 부안군,373271.3694,156981.6697,35.95603412,126.5231525
2,전북,9,2007-11-01,육상,전라북도 부안군,373071.6549,156995.7658,35.95423489,126.5233196
2,전북,10,2007-11-01,육상,전라북도 부안군,372869.9001,157007.9035,35.95241719,126.523465
3,영덕,1,2006-01-01,육상,경상북도 영덕군 영덕읍 화수리,426381.6907,416598.4908,36.41119125,129.4146661
3,영덕,2,2006-01-01,육상,경상북도 영덕군 영덕읍 화수리,426605.3917,416667.9399,36.41318973,129.4155021
3,영덕,3,2006-01-01,육상,경상북도 영덕군 영덕읍 화수리,426786.9146,416538.028,36.41485339,129.4141056
3,영덕,4,2006-01-01,육상,경상북도 영덕군 영덕읍 화수리,426813.6265,416281.1732,36.41515174,129.4112517
3,영덕,5,2006-01-01,육상,경상북도 영덕군 영덕읍 화수리,427015.9496,416430.1579,36.41693985,129.4129678
3,영덕,6,2006-01-01,육상,경상북도 영덕군 영덕읍 화수리,427249.7437,416262.1185,36.4190827,129.4111609
3,영덕,7,2006-01-01,육상,경상북도 영덕군 영덕읍 화수리,427204.3729,416729.6073,36.41856886,129.4163562
3,영덕,8,2006-01-01,육상,경상북도 영덕군 영덕읍 화수리,426852.4551,417043.2647,36.41532951,129.4197521
3,영덕,9,2006-01-01,육상,경상북도 영덕군 영덕읍 화수리,427093.9768,416958.1625,36.41752331,129.4188715
3,영덕,10,2006-01-01,육상,경상북도 영덕군 영덕읍 화수리,427126.3554,417167.7386,36.41776749,129.4212153
3,영덕,11,2006-01-01,육상,경상북도 영덕군 영덕읍 화수리,427340.7993,417032.1375,36.41972891,129.4197646
3,영덕,12,2006-01-01,육상,경상북도 영덕군 영덕읍 화수리,427519.0247,416936.3332,36.42135522,129.4187471
3,영덕,13,2006-01-01,육상,경상북도 영덕군 영덕읍 화수리,427516.2115,417138.6296,36.42128419,129.421
3,영덕,14,2006-01-01,육상,경상북도 영덕군 영덕읍 화수리,427812.3384,417031.3695,36.42397465,129.4198879
3,영덕,15,2006-01-01,육상,경상북도 영덕군 영덕읍 화수리,428008.0608,417103.3999,36.42572059,129.4207451
3,영덕,16,2006-01-01,육상,경상북도 영덕군 영덕읍 화수리,428075.8935,417429.3787,36.42625759,129.4243959
3,영덕,17,2006-01-01,육상,경상북도 영덕군 영덕읍 화수리,428107.5281,416685.8482,36.42671044,129.4161208
3,영덕,18,2006-01-01,육상,경상북도 영덕군 영덕읍 화수리,428268.8795,416886.7419,36.42811785,129.4184041
3,영덕,19,2006-01-01,육상,경상북도 영덕군 영덕읍 화수리,428377.1988,416558.1116,36.42916727,129.4147729
3,영덕,20,2006-01-01,육상,경상북도 영덕군 영덕읍 화수리,428523.1939,416887.4742,36.43040744,129.4184833
3,영덕,21,2006-01-01,육상,경상북도 영덕군 영덕읍 화수리,428583.6977,416425.6779,36.43105637,129.4133549
3,영덕,22,2006-01-01,육상,경상북도 영덕군 영덕읍 화수리,428712.7917,416905.5674,36.43211042,129.4187379
3,영덕,23,2006-01-01,육상,경상북도 영덕군 영덕읍 화수리,428071.7743,418003.1411,36.42609046,129.4307871
